"Step","0302125358 - train_accuracy","0302125358 - train_accuracy__MIN","0302125358 - train_accuracy__MAX"
"520","0.96875","0.96875","0.96875"
"521","1","1","1"
"522","0.96875","0.96875","0.96875"
"523","0.9375","0.9375","0.9375"
"524","0.96875","0.96875","0.96875"
"525","0.9375","0.9375","0.9375"
"526","0.96875","0.96875","0.96875"
"527","0.96875","0.96875","0.96875"
"528","0.90625","0.90625","0.90625"
"529","0.90625","0.90625","0.90625"
"530","0.90625","0.90625","0.90625"
"531","0.90625","0.90625","0.90625"
"532","1","1","1"
"533","0.9375","0.9375","0.9375"
"534","0.96875","0.96875","0.96875"
"535","0.90625","0.90625","0.90625"
"536","0.875","0.875","0.875"
"537","0.90625","0.90625","0.90625"
"538","0.90625","0.90625","0.90625"
"539","0.9375","0.9375","0.9375"
"540","0.96875","0.96875","0.96875"
"541","0.9375","0.9375","0.9375"
"542","0.90625","0.90625","0.90625"
"543","0.90625","0.90625","0.90625"
"544","0.96875","0.96875","0.96875"
"545","0.90625","0.90625","0.90625"
"546","0.9375","0.9375","0.9375"
"547","0.875","0.875","0.875"
"548","0.90625","0.90625","0.90625"
"549","0.96875","0.96875","0.96875"
"550","1","1","1"
"551","0.90625","0.90625","0.90625"
"552","0.96875","0.96875","0.96875"
"553","0.84375","0.84375","0.84375"
"554","1","1","1"
"555","0.875","0.875","0.875"
"556","0.96875","0.96875","0.96875"
"557","0.84375","0.84375","0.84375"
"558","0.9375","0.9375","0.9375"
"559","0.90625","0.90625","0.90625"
"560","0.9375","0.9375","0.9375"
"561","0.96875","0.96875","0.96875"
"562","0.96875","0.96875","0.96875"
"563","0.9375","0.9375","0.9375"
"564","0.875","0.875","0.875"
"565","1","1","1"
"566","0.90625","0.90625","0.90625"
"567","0.875","0.875","0.875"
"568","0.875","0.875","0.875"
"569","1","1","1"
"570","0.9375","0.9375","0.9375"
"571","0.9375","0.9375","0.9375"
"572","0.84375","0.84375","0.84375"
"573","0.96875","0.96875","0.96875"
"574","0.9375","0.9375","0.9375"
"575","0.9375","0.9375","0.9375"
"576","0.90625","0.90625","0.90625"
"577","0.96875","0.96875","0.96875"
"578","1","1","1"
"579","1","1","1"
"580","0.9375","0.9375","0.9375"
"581","1","1","1"
"582","0.875","0.875","0.875"
"583","1","1","1"
"584","0.90625","0.90625","0.90625"
"585","0.78125","0.78125","0.78125"
"586","0.90625","0.90625","0.90625"
"587","0.9375","0.9375","0.9375"
"588","1","1","1"
"589","0.9375","0.9375","0.9375"
"590","0.96875","0.96875","0.96875"
"591","0.96875","0.96875","0.96875"
"592","0.90625","0.90625","0.90625"
"593","0.90625","0.90625","0.90625"
"594","1","1","1"
"595","0.9375","0.9375","0.9375"
"596","0.90625","0.90625","0.90625"
"597","1","1","1"
"598","0.9375","0.9375","0.9375"
"599","0.90625","0.90625","0.90625"
"600","0.96875","0.96875","0.96875"
"601","0.96875","0.96875","0.96875"
"602","0.9375","0.9375","0.9375"
"603","0.96875","0.96875","0.96875"
"604","0.90625","0.90625","0.90625"
"605","1","1","1"
"606","0.84375","0.84375","0.84375"
"607","0.875","0.875","0.875"
"608","0.9375","0.9375","0.9375"
"609","0.875","0.875","0.875"
"610","0.90625","0.90625","0.90625"
"611","1","1","1"
"612","0.96875","0.96875","0.96875"
"613","0.9375","0.9375","0.9375"
"614","0.875","0.875","0.875"
"615","0.96875","0.96875","0.96875"
"616","0.9375","0.9375","0.9375"
"617","0.90625","0.90625","0.90625"
"618","0.875","0.875","0.875"
"619","1","1","1"
"620","0.875","0.875","0.875"
"621","0.96875","0.96875","0.96875"
"622","0.9375","0.9375","0.9375"
"623","0.9375","0.9375","0.9375"
"624","0.90625","0.90625","0.90625"
"625","0.96875","0.96875","0.96875"
"626","0.9375","0.9375","0.9375"
"627","0.96875","0.96875","0.96875"
"628","0.96875","0.96875","0.96875"
"629","0.9375","0.9375","0.9375"
"630","0.9375","0.9375","0.9375"
"631","0.9375","0.9375","0.9375"
"632","0.90625","0.90625","0.90625"
"633","1","1","1"
"634","0.9375","0.9375","0.9375"
"635","0.90625","0.90625","0.90625"
"636","0.96875","0.96875","0.96875"
"637","1","1","1"
"638","0.9375","0.9375","0.9375"
"639","0.875","0.875","0.875"
"640","0.96875","0.96875","0.96875"
"641","0.90625","0.90625","0.90625"
"642","0.90625","0.90625","0.90625"
"643","1","1","1"
"644","0.96875","0.96875","0.96875"
"645","1","1","1"
"646","1","1","1"
"647","0.90625","0.90625","0.90625"
"648","0.9375","0.9375","0.9375"
"649","0.90625","0.90625","0.90625"
"650","0.96875","0.96875","0.96875"
"651","0.84375","0.84375","0.84375"
"652","1","1","1"
"653","0.9375","0.9375","0.9375"
"654","0.96875","0.96875","0.96875"
"655","0.8125","0.8125","0.8125"
"656","0.96875","0.96875","0.96875"
"657","0.875","0.875","0.875"
"658","0.9375","0.9375","0.9375"
"659","0.9375","0.9375","0.9375"
"660","0.875","0.875","0.875"
"661","1","1","1"
"662","0.90625","0.90625","0.90625"
"663","0.96875","0.96875","0.96875"
"664","0.9375","0.9375","0.9375"
"665","0.8125","0.8125","0.8125"
"666","0.90625","0.90625","0.90625"
"667","0.875","0.875","0.875"
"668","0.90625","0.90625","0.90625"
"669","0.90625","0.90625","0.90625"
"670","0.96875","0.96875","0.96875"
"671","0.8125","0.8125","0.8125"
"672","0.9375","0.9375","0.9375"
"673","0.9375","0.9375","0.9375"
"674","0.96875","0.96875","0.96875"
"675","0.9375","0.9375","0.9375"
"676","0.96875","0.96875","0.96875"
"677","0.90625","0.90625","0.90625"
"678","0.9375","0.9375","0.9375"
"679","0.90625","0.90625","0.90625"
"680","0.90625","0.90625","0.90625"
"681","0.96875","0.96875","0.96875"
"682","0.90625","0.90625","0.90625"
"683","0.96875","0.96875","0.96875"
"684","0.90625","0.90625","0.90625"
"685","0.96875","0.96875","0.96875"
"686","0.90625","0.90625","0.90625"
"687","0.96875","0.96875","0.96875"
"688","0.875","0.875","0.875"
"689","0.875","0.875","0.875"
"690","0.96875","0.96875","0.96875"
"691","0.9375","0.9375","0.9375"
"692","0.8125","0.8125","0.8125"
"693","0.875","0.875","0.875"
"694","0.9375","0.9375","0.9375"
"695","0.9375","0.9375","0.9375"
"696","0.96875","0.96875","0.96875"
"697","0.96875","0.96875","0.96875"
"698","0.875","0.875","0.875"
"699","0.96875","0.96875","0.96875"
"700","0.90625","0.90625","0.90625"
"701","0.875","0.875","0.875"
"702","0.9375","0.9375","0.9375"
"703","0.9375","0.9375","0.9375"
"704","0.96875","0.96875","0.96875"
"705","0.90625","0.90625","0.90625"
"706","0.9375","0.9375","0.9375"
"707","0.96875","0.96875","0.96875"
"708","0.96875","0.96875","0.96875"
"709","0.96875","0.96875","0.96875"
"710","0.90625","0.90625","0.90625"
"711","0.96875","0.96875","0.96875"
"712","0.90625","0.90625","0.90625"
"713","0.96875","0.96875","0.96875"
"714","0.9375","0.9375","0.9375"
"715","1","1","1"
"716","0.84375","0.84375","0.84375"
"717","1","1","1"
"718","0.8125","0.8125","0.8125"
"719","0.96875","0.96875","0.96875"
"720","0.96875","0.96875","0.96875"
"721","0.9375","0.9375","0.9375"
"722","0.90625","0.90625","0.90625"
"723","0.96875","0.96875","0.96875"
"724","0.96875","0.96875","0.96875"
"725","0.90625","0.90625","0.90625"
"726","0.96875","0.96875","0.96875"
"727","0.96875","0.96875","0.96875"
"728","0.9375","0.9375","0.9375"
"729","0.90625","0.90625","0.90625"
"730","0.9375","0.9375","0.9375"
"731","0.9375","0.9375","0.9375"
"732","0.96875","0.96875","0.96875"
"733","0.90625","0.90625","0.90625"
"734","0.96875","0.96875","0.96875"
"735","0.9375","0.9375","0.9375"
"736","0.96875","0.96875","0.96875"
"737","0.9375","0.9375","0.9375"
"738","1","1","1"
"739","0.90625","0.90625","0.90625"
"740","0.96875","0.96875","0.96875"
"741","0.90625","0.90625","0.90625"
"742","0.90625","0.90625","0.90625"
"743","0.96875","0.96875","0.96875"
"744","0.96875","0.96875","0.96875"
"745","1","1","1"
"746","1","1","1"
"747","0.9375","0.9375","0.9375"
"748","0.90625","0.90625","0.90625"
"749","0.875","0.875","0.875"
"750","0.96875","0.96875","0.96875"
"752","0.84375","0.84375","0.84375"
"753","0.9375","0.9375","0.9375"
"754","0.96875","0.96875","0.96875"
"755","0.9375","0.9375","0.9375"
"756","0.96875","0.96875","0.96875"
"757","0.96875","0.96875","0.96875"
"758","0.9375","0.9375","0.9375"
"759","0.96875","0.96875","0.96875"
"760","1","1","1"
"761","0.84375","0.84375","0.84375"
"762","0.90625","0.90625","0.90625"
"763","1","1","1"
"764","0.9375","0.9375","0.9375"
"765","0.96875","0.96875","0.96875"
"766","0.9375","0.9375","0.9375"
"767","0.96875","0.96875","0.96875"
"768","0.96875","0.96875","0.96875"
"769","0.9375","0.9375","0.9375"
"770","0.9375","0.9375","0.9375"
"771","1","1","1"
"772","1","1","1"
"773","0.96875","0.96875","0.96875"
"774","0.9375","0.9375","0.9375"
"775","0.9375","0.9375","0.9375"
"776","0.84375","0.84375","0.84375"
"777","0.96875","0.96875","0.96875"
"778","0.90625","0.90625","0.90625"
"779","0.78125","0.78125","0.78125"
"780","0.96875","0.96875","0.96875"
"781","0.9375","0.9375","0.9375"
"782","0.96875","0.96875","0.96875"
